Store Name,Store Type,Geometry,Latitude,Longitude,Address
Panda Express,fast food,"38.930904559535016, -77.03367590942607",38.930904559535,-77.033675909426,"3100 14th St NW, Washington, DC 20010"
Panda Express,fast food,"38.885330636706954, -77.02455817902323",38.885330636707,-77.024558179023,"429 L'Enfant Plaza SW, Washington, DC 20024"
Panda Express,fast food,"38.92708776765468, -77.01389175232437",38.927087767655,-77.013891752324,"2024 Concessions Pentagon, Washington, DC 20310"
Panda Express,fast food,"38.91214996473711, -76.98484625124134",38.912149964737,-76.984846251241,"1807 West Virginia Ave NE, Washington, DC 20002"
Panda Express,fast food,"38.87677186252486, -76.99567677693598",38.876771862525,-76.995676776936,"1244 Patterson Ave SE bldg 22, Washington, DC 20374"
Panda Express,fast food,"38.92185647161408, -76.95327087959907",38.921856471614,-76.953270879599,"2440 Market St NE, Washington, DC 20018"
Subway,healthy fast food,"38.96715869308343, -77.07602262548899",38.967158693083,-77.076022625489,"5616 Connecticut Ave NW, Washington, DC 20015"
Subway,healthy fast food,"38.94807022048447, -77.07876920748576",38.948070220484,-77.078769207486,"4441 Wisconsin Ave Suite A, Washington, DC 20016"
Subway,healthy fast food,"38.96100222121194, -77.08424091931175",38.961002221212,-77.084240919312,"5300 Wisconsin Ave NW Space #7, Washington, DC 20015"
Subway,healthy fast food,"38.93707199125467, -77.05894232378664",38.937071991255,-77.058942323787,"3520 Connecticut Ave NW Suite 11, Washington, DC 20008"
Subway,healthy fast food,"38.92097211479502, -77.07114101035883",38.920972114795,-77.071141010359,"2216 Wisconsin Ave NW, Washington, DC 20007"
Subway,healthy fast food,"38.96989473106516, -77.02730298626079",38.969894731065,-77.027302986261,"1201 Tuckerman St NW, Washington, DC 20011"
Subway,healthy fast food,"38.95918354046236, -77.00163960758405",38.959183540462,-77.001639607584,"314 Riggs Rd NE, Washington, DC 20011"
Subway,healthy fast food,"38.93790651455353, -77.0245188494698",38.937906514554,-77.024518849470,"3720 Georgia Ave NW Bay E, Washington, DC 20010"
Subway,healthy fast food,"38.93168073404571, -77.03251183263838",38.931680734046,-77.032511832638,"3306 14th St NW, Washington, DC 20010"
Subway,healthy fast food,"38.931547199257075, -77.03826248840235",38.931547199257,-77.038262488402,"3160-3174 Mt Pleasant St NW, Washington, DC 20010"
Subway,healthy fast food,"38.92335102022852, -77.04202831020692",38.923351020229,-77.042028310207,"2469 18th St NW, Washington, DC 20009"
Subway,healthy fast food,"38.91847626522144, -77.03181445892457",38.918476265221,-77.031814458925,"2001 14th St NW 1st Floor, Washington, DC 20009"
Subway,healthy fast food,"38.91233226116418, -77.03838050592493",38.912332261164,-77.038380505925,"1613 17th St NW, Washington, DC 20009"
Subway,healthy fast food,"38.91039545403971, -77.0452469605685",38.910395454040,-77.045246960569,"2010 P St NW, Washington, DC 20036"
Subway,healthy fast food,"38.90564921820147, -77.04134702910086",38.905649218201,-77.041347029101,"1129 18th St NW Suite 101A, Washington, DC 20036"
Subway,healthy fast food,"38.904847711724706, -77.0389437699756",38.904847711725,-77.038943769976,"1712 L St NW Suite 112, Washington, DC 20036"
Subway,healthy fast food,"38.902977494756, -77.0389437699756",38.902977494756,-77.038943769976,"1666 K St NW, Washington, DC 20006"
Subway,healthy fast food,"38.8972329488951, -77.04426527232438",38.897232948895,-77.044265272324,"1959 E St NW Space C, Washington, DC 20052"
Subway,healthy fast food,"38.902042367797264, -77.03327894489465",38.902042367797,-77.033278944895,"1444 I St NW 1st Floor, Washington, DC 20005"
Subway,healthy fast food,"38.90431336904643, -77.03405142104204",38.904313369046,-77.034051421042,"1015 15th St NW, Washington, DC 20005"
Subway,healthy fast food,"38.90651750686944, -77.02160597103914",38.906517506869,-77.021605971039,"1127 7th St NW, Washington, DC 20001"
Subway,healthy fast food,"38.90458054108448, -77.02684164270487",38.904580541084,-77.026841642705,"1010 Massachusetts Ave NW, Washington, DC 20001"
Subway,healthy fast food,"38.90170839109483, -77.02787161090141",38.901708391095,-77.027871610901,"1100 New York Ave NW, Washington, DC 20005"
Subway,healthy fast food,"38.89803454152931, -77.02812910295054",38.898034541529,-77.028129102951,"555 13th St NW, Washington, DC 20005"
Subway,healthy fast food,"38.89783414426809, -77.02418089153049",38.897834144268,-77.024180891530,"901 E St NW Suite 104, Washington, DC 20004"
Subway,healthy fast food,"38.896030543468804, -77.01997518806128",38.896030543469,-77.019975188061,"501 D St NW, Washington, DC 20001"
Subway,healthy fast food,"38.88468601307931, -77.01933682167477",38.884686013079,-77.019336821675,"525 School St SW, Washington, DC 20024"
Subway,healthy fast food,"38.9088676765758, -77.00277149860332",38.908867676576,-77.002771498603,"1300 2nd St NE, Washington, DC 20002"
Subway,healthy fast food,"38.88714547044939, -77.010834219103",38.887145470449,-77.010834219103,"Rayburn House Office Building, Independence Ave SW, Washington, DC 20515"
Subway,healthy fast food,"38.88794717674075, -77.00465440992379",38.887947176741,-77.004654409924,"101 Independence Ave SE, Washington, DC 20540"
Subway,healthy fast food,"38.877524289257686, -77.00791597587947",38.877524289258,-77.007915975879,"20 M St SE Suite Gl-101, Washington, DC 20003"
Subway,healthy fast food,"38.87852655641743, -77.00388193377637",38.878526556417,-77.003881933776,"1100 New Jersey Ave SE 1st Floor, Washington, DC 20003"
